Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1875-03,-0.39405042,-0.610313,-0.17778786
1875-04,-0.18114519,-0.4717977,0.109507315
1875-05,-0.18398032,-0.51181555,0.14385489
1875-06,-0.44225183,-0.78511566,-0.09938799
1875-07,-0.30306032,-0.58547443,-0.020646194
1875-08,-0.25224936,-0.60756195,0.103063256
1875-09,-0.15543067,-0.4437627,0.13290136
1875-10,-0.24786627,-0.5027596,0.007027025
1875-11,-0.18768287,-0.43876168,0.063395955
1875-12,-0.45266652,-0.6598167,-0.24551632
1876-01,-0.40378514,-0.6322938,-0.17527649
1876-02,-0.29086244,-0.5118107,-0.06991417
1876-03,-0.3095021,-0.53713197,-0.08187221
1876-04,-0.3917122,-0.6658348,-0.1175896
1876-05,-0.46481538,-0.7773978,-0.15223297
1876-06,-0.55515784,-0.90389955,-0.20641614
1876-07,-0.4049156,-0.70263577,-0.10719543
1876-08,-0.45412463,-0.82635033,-0.08189889
1876-09,-0.58638185,-0.9441672,-0.22859652
1876-10,-0.32351738,-0.59055805,-0.056476668
1876-11,-0.4915698,-0.7387865,-0.24435304
1876-12,-0.28269863,-0.53005,-0.03534731
1877-01,-0.30534282,-0.5271499,-0.08353568
1877-02,-0.047884736,-0.26205346,0.16628398
1877-03,-0.004854754,-0.23110183,0.22139232
1877-04,-0.2261972,-0.47706553,0.024671156
1877-05,-0.51063305,-0.8035332,-0.21773285
1877-06,-0.30081582,-0.63508266,0.033451024
1877-07,-0.12271331,-0.4489236,0.20349696
1877-08,0.044570234,-0.31517503,0.4043155
1877-09,0.050641276,-0.2468952,0.34817776
1877-10,0.18210672,-0.10677819,0.4709916
1877-11,-0.013302334,-0.23184098,0.20523632
1877-12,0.044161286,-0.16931792,0.25764048
1878-01,0.19045508,-0.0044165817,0.38532674
1878-02,0.1782831,-0.027577894,0.3841441
1878-03,0.14934264,-0.102671154,0.40135646
1878-04,0.12583853,-0.1334825,0.38515958
1878-05,-0.15459442,-0.4577909,0.14860207
1878-06,-0.3592385,-0.69954336,-0.018933652
1878-07,-0.24713561,-0.5495848,0.05531361
1878-08,-0.2085498,-0.56503105,0.14793147
1878-09,-0.15274718,-0.44138426,0.13588987
1878-10,-0.1641051,-0.42730278,0.09909258
1878-11,-0.19126311,-0.43390846,0.051382244
1878-12,-0.29237893,-0.4990231,-0.085734785
1879-01,-0.2661942,-0.48666435,-0.045724053
1879-02,-0.26523858,-0.46769944,-0.06277771
1879-03,-0.26008898,-0.47049806,-0.049679894
1879-04,-0.3176181,-0.560805,-0.07443117
1879-05,-0.37017134,-0.6684315,-0.071911156
1879-06,-0.25144577,-0.56054103,0.057649508
1879-07,-0.30822977,-0.6056787,-0.010780858
1879-08,-0.21997434,-0.566191,0.12624232
1879-09,-0.2294789,-0.5165496,0.05759182
1879-10,-0.29760322,-0.5380152,-0.057191223
1879-11,-0.20431188,-0.4449062,0.036282457
1879-12,-0.2618851,-0.49053013,-0.03324009
1880-01,-0.31073156,-0.50772506,-0.113738105
1880-02,-0.26016054,-0.4595843,-0.060736768
1880-03,-0.029484581,-0.24613269,0.18716353
1880-04,-0.21076687,-0.43438476,0.012851046
1880-05,-0.34748146,-0.63145,-0.063512936
1880-06,-0.45921636,-0.7659952,-0.15243754
1880-07,-0.32217214,-0.6089014,-0.035442904
